-0.999999996	0.001502
-0.999846083	0.001502
-0.999387625	0.001502
-0.998624762	0.001502
-0.997557727	0.001502
-0.996186843	0.001502
-0.994512529	0.001502
-0.992535295	0.001502
-0.990255743	0.001502
-0.987674567	0.001502
-0.984792554	0.001502
-0.981610581	0.001502
-0.978129618	0.001502
-0.974350724	0.001502
-0.970275051	0.001502
-0.965903841	0.001502
-0.961238424	0.001502
-0.956280222	0.001502
-0.951030745	0.001502
-0.945491591	0.001502
-0.939664449	0.001502
-0.933551093	0.001502
-0.927153385	0.001502
-0.920473274	0.001503
-0.913512794	0.001503
-0.906274066	0.001503
-0.898759294	0.001504
-0.890970767	0.001504
-0.882910858	0.001505
-0.874582022	0.001505
-0.865986796	0.001506
-0.857127797	0.001507
-0.848007723	0.001508
-0.838629354	0.001509
-0.828995546	0.001511
-0.819109232	0.001512
-0.808973424	0.001481
-0.798591209	0.001453
-0.787965751	0.001655
-0.777100284	0.001547
-0.765998119	0.001533
-0.754662638	0.001609
-0.743097292	0.00163
-0.731305605	0.001579
-0.719291169	0.00151
-0.707057642	0.001557
-0.694608752	0.001621
-0.681948289	0.001582
-0.669080111	0.001645
-0.656008137	0.001604
-0.642736347	0.001618
-0.629268786	0.001581
-0.615609554	0.00154
-0.601762813	0.001611
-0.58773278	0.001601
-0.573523729	0.001655
-0.559139986	0.001646
-0.544585935	0.001677
-0.529866007	0.001628
-0.514984686	0.001544
-0.499946505	0.001722
-0.484756045	0.001698
-0.469417932	0.001626
-0.453936838	0.001726
-0.438317479	0.001799
-0.422564612	0.001743
-0.406683035	0.001767
-0.390677586	0.001758
-0.37455314	0.001854
-0.358314608	0.001827
-0.341966936	0.001797
-0.325515104	0.001894
-0.308964123	0.001923
-0.292319033	0.001928
-0.275584906	0.002009
-0.258766838	0.001956
-0.241869952	0.001981
-0.224899394	0.002041
-0.207860334	0.002058
-0.190757961	0.002138
-0.173597485	0.00218
-0.156384133	0.002339
-0.139123147	0.002403
-0.121819785	0.0024
-0.104479319	0.002412
-0.087107028	0.002519
-0.069708206	0.002633
-0.052288151	0.002595
-0.034852169	0.002721
-0.017405572	0.00285
4.63268E-05	0.002974
0.017498211	0.003054
0.034944766	0.003049
0.052380677	0.003339
0.069800634	0.003339
0.087199329	0.003454
0.104571465	0.003552
0.121911748	0.003587
0.139214899	0.003848
0.156475646	0.004001
0.173688731	0.004111
0.190848913	0.004236
0.207950963	0.004464
0.224989673	0.004575
0.241959854	0.00496
0.258856335	0.005119
0.275673971	0.005254
0.292407639	0.005581
0.309052242	0.005892
0.32560271	0.006179
0.342054002	0.006485
0.358401107	0.006719
0.374639047	0.007149
0.390762874	0.007346
0.406767679	0.007624
0.422648585	0.008093
0.438400756	0.008508
0.454019394	0.008992
0.469499741	0.009608
0.484837082	0.01016
0.500026747	0.01105
0.515064107	0.0109
0.529944583	0.01106
0.544663642	0.01246
0.559216801	0.01303
0.573599627	0.01354
0.58780774	0.01488
0.601836811	0.01525
0.615682567	0.01638
0.629340792	0.01744
0.642807325	0.01805
0.656078064	0.01962
0.669148967	0.02105
0.682016053	0.02211
0.694675403	0.02373
0.70712316	0.02571
0.719355533	0.02717
0.731368797	0.02906
0.743159291	0.03241
0.754723426	0.03413
0.766057678	0.03632
0.777158595	0.03973
0.788022796	0.04381
0.798646972	0.04754
0.809027886	0.05292
0.819162378	0.05855
0.829047359	0.06427
0.838679819	0.07108
0.848056825	0.07927
0.857175519	0.08738
0.866033125	0.09764
0.874626944	0.1081
0.882954359	0.1218
0.891012834	0.1363
0.898799913	0.1527
0.906313225	0.1707
0.913550482	0.1925
0.920509479	0.2166
0.927188097	0.2457
0.9335843	0.2762
0.939696142	0.3097
0.94552176	0.3493
0.951059379	0.3942
0.956307314	0.4508
0.961263966	0.5183
0.965155687	0.5803
0.974332296	0.8045
0.981192831	1.123
0.986312321	1.613
0.990073366	2.295
0.992818445	3.1
0.994815548	4.225
0.996263063	5.464
0.99730952	7.667
0.998063928	9.987
0.998607607	13.37
0.998998934	16.76
0.999280938	21.31
0.999483297	27.5
0.999628911	33.96
0.999733437	42.47
0.99980862	52.79
0.999862466	69.15
0.999901209	91.92
0.999929059	122.8
0.999949049	156.5
0.999963418	183
0.999973732	211.4
0.99998113	222.9
0.999986448	206
0.999990267	203.6
0.999993012	267.9
0.999994983	416.3
0.999996397	585.7
0.999997414	731.9
0.999998144	842
0.999998666	924.2
